,Source_airport,Destination_airport,Routes
833,Cameroon,Central African Republic,8
834,Central African Republic,Cameroon,8
835,Cuba,Mexico,8
836,Morocco,Netherlands,8
837,Taiwan,Singapore,8
838,Singapore,Taiwan,8
840,Cameroon,Benin,8
841,Benin,Cameroon,8
842,Cape Verde,Portugal,7
843,Portugal,Cape Verde,7
844,Russia,Vietnam,7
845,Vietnam,Russia,7
846,Pakistan,United Kingdom,7
847,United Kingdom,Pakistan,7
848,Laos,Thailand,7
849,Thailand,Laos,7
850,Pakistan,Qatar,7
851,Qatar,Pakistan,7
852,Mayotte,Madagascar,7
853,Israel,Ukraine,7
854,Ukraine,Israel,7
855,Vietnam,Cambodia,7
856,Cambodia,Vietnam,7
857,Peru,Brazil,7
858,Brazil,Peru,7
859,Syria,Kuwait,7
860,Spain,Turkey,7
861,Turkey,Spain,7
862,Russia,Switzerland,7
863,Switzerland,Russia,7
864,Poland,Belgium,7
865,Sweden,Belgium,7
866,Belgium,Poland,7
867,Belgium,Sweden,7
868,Bulgaria,Spain,7
869,Spain,Bulgaria,7
870,Iran,Afghanistan,7
871,Singapore,United Arab Emirates,7
872,Sudan,United Arab Emirates,7
873,Turkey,United Arab Emirates,7
874,United Arab Emirates,Singapore,7
875,United Arab Emirates,Turkey,7
876,United Arab Emirates,Iraq,7
877,Iraq,United Arab Emirates,7
878,Spain,Dominican Republic,7
879,Italy,Denmark,7
880,Denmark,Italy,7
881,Liberia,Ghana,7
882,United States,Turkey,7
883,Turkey,United States,7
884,Ghana,Liberia,7
885,Vanuatu,Australia,7
886,Cambodia,China,7
887,China,Cambodia,7
888,Pakistan,Thailand,7
889,Thailand,Pakistan,7
890,Israel,United States,7
891,Germany,Qatar,7
892,United States,Israel,7
893,Panama,Brazil,7
894,Brazil,Panama,7
895,Hong Kong,Indonesia,7
896,Indonesia,Hong Kong,7
897,Switzerland,Sweden,7
898,Sweden,Switzerland,7
899,Turkey,China,7
900,China,Turkey,7
901,Taiwan,Indonesia,7
902,Indonesia,Taiwan,7
903,Uganda,Rwanda,7
904,Ethiopia,Kenya,7
905,China,United Kingdom,7
906,Mauritius,South Africa,7
907,United Kingdom,China,7
908,United Kingdom,Mexico,7
909,United Kingdom,Barbados,7
910,South Africa,Mauritius,7
911,China,Italy,7
912,Switzerland,United Arab Emirates,7
913,Italy,China,7
914,United Arab Emirates,Switzerland,7
915,Latvia,Finland,7
916,Finland,Latvia,7
917,Finland,Switzerland,7
918,Panama,Mexico,7
919,Mexico,Panama,7
920,Malaysia,Vietnam,7
921,Vietnam,Malaysia,7
922,Romania,United Kingdom,7
923,Norway,France,7
924,United Kingdom,Romania,7
925,France,Norway,7
926,France,China,7
927,China,France,7
928,Switzerland,Netherlands,7
929,Netherlands,Switzerland,7
930,Jordan,Syria,7
931,Congo (Kinshasa),Belgium,7
932,Cameroon,Belgium,7
933,Guinea,Gambia,7
934,Belgium,Angola,7
935,Belgium,Rwanda,7
936,Gambia,Guinea,7
937,Cote d'Ivoire,Togo,7
938,Germany,Cyprus,7
939,Germany,Jordan,7
